name,title,description,pubmed_id,platform,platform_technology_type,feature_count,channel_count,sample_count,value_type,reference_series,order,file_location,num_L1000_genes,target_column,num_classes,class_distribution,true_class_distribution
GDS1012,Idiopathic and scleroderma-associated pulmonary fibrosis derived fibroblasts response to TGFbeta,Analysis of adult lung fibroblasts treated with 4 ng/ml TGFbeta cytokine for 4 hours. Fibroblasts obtained from patients with idiopathic or scleroderma-associated pulmonary fibrosis. Results provide insight into the role of TGFbeta in pulmonary fibrosis.,15571627,GPL8300,in situ oligonucleotide,12625,1,18,count,GSE1724,none,data/GEO_v2/datasets/GDS1012.csv,827,disease state,3,"{'normal': 6, 'scleroderma-associated pulmonary fibrosis': 6, 'idiopathic pulmonary fibrosis': 6}","{'normal': 6, 'scleroderma-associated pulmonary fibrosis': 6, 'idiopathic pulmonary fibrosis': 6}"
GDS1012,Idiopathic and scleroderma-associated pulmonary fibrosis derived fibroblasts response to TGFbeta,Analysis of adult lung fibroblasts treated with 4 ng/ml TGFbeta cytokine for 4 hours. Fibroblasts obtained from patients with idiopathic or scleroderma-associated pulmonary fibrosis. Results provide insight into the role of TGFbeta in pulmonary fibrosis.,15571627,GPL8300,in situ oligonucleotide,12625,1,18,count,GSE1724,none,data/GEO_v2/datasets/GDS1012.csv,827,agent,2,"{'control': 9, 'TGFbeta': 9}","{'control': 9, 'TGFbeta': 9}"
GDS1020,Post-traumatic stress disorder development,Expression profiling of peripheral mononuclear blood cells (PMBC) from patients with post-traumatic stress disorder. PMBC samples obtained from patients a few hours and 4 months after exposure to psychological stress.,15685253,GPL91,in situ oligonucleotide,12626,1,33,count,GSE860,none,data/GEO_v2/datasets/GDS1020.csv,823,disease state,2,"{'control': 16, 'post-traumatic stress disorder': 17}","{'post-traumatic stress disorder': 17, 'control': 16}"
GDS1020,Post-traumatic stress disorder development,Expression profiling of peripheral mononuclear blood cells (PMBC) from patients with post-traumatic stress disorder. PMBC samples obtained from patients a few hours and 4 months after exposure to psychological stress.,15685253,GPL91,in situ oligonucleotide,12626,1,33,count,GSE860,none,data/GEO_v2/datasets/GDS1020.csv,823,time,2,"{'few hours': 15, '4 months': 18}","{'4 months': 18, 'few hours': 15}"
GDS1020,Post-traumatic stress disorder development,Expression profiling of peripheral mononuclear blood cells (PMBC) from patients with post-traumatic stress disorder. PMBC samples obtained from patients a few hours and 4 months after exposure to psychological stress.,15685253,GPL91,in situ oligonucleotide,12626,1,33,count,GSE860,none,data/GEO_v2/datasets/GDS1020.csv,823,other,3,"{'unknown': 13, 'decrease in symptoms': 8, 'no decrease in symptoms': 12}","{'unknown': 13, 'no decrease in symptoms': 12, 'decrease in symptoms': 8}"
GDS1022,Lung pneumocyte response to Pseudomonas aeruginosa type III secretion system mutants,Analysis of A549 lung pneumocytes after infection with Pseudomonas aeruginosa (PA) PAK mutants deleted for various components of the type III secretion system (TTSS).  Mutants in TTSS effectors and translocators studied.  PA causes serious respiratory infections in cystic fibrosis patients.,16207250,GPL8300,in situ oligonucleotide,12625,1,16,count,GSE1469,none,data/GEO_v2/datasets/GDS1022.csv,827,infection,2,"{'uninfected': 3, 'Pseudomonas aeruginosa PAK': 13}","{'Pseudomonas aeruginosa PAK': 13, 'uninfected': 3}"
GDS1022,Lung pneumocyte response to Pseudomonas aeruginosa type III secretion system mutants,Analysis of A549 lung pneumocytes after infection with Pseudomonas aeruginosa (PA) PAK mutants deleted for various components of the type III secretion system (TTSS).  Mutants in TTSS effectors and translocators studied.  PA causes serious respiratory infections in cystic fibrosis patients.,16207250,GPL8300,in situ oligonucleotide,12625,1,16,count,GSE1469,none,data/GEO_v2/datasets/GDS1022.csv,827,genotype/variation,7,"{'wild type': 3, 'exoS, exoT, exoY deleted': 2, 'exoS, exoT deleted': 2, 'exoS, exoY deleted': 2, 'exoT, exoY deleted': 2, 'needle complex deleted': 2, 'control': 3}","{'control': 3, 'wild type': 3, 'exoS, exoT, exoY deleted': 2, 'exoS, exoT deleted': 2, 'exoS, exoY deleted': 2, 'exoT, exoY deleted': 2, 'needle complex deleted': 2}"
GDS1028,Severe acute respiratory syndrome expression profile,Expression profiling of peripheral blood mononuclear cells (PBMC) from 10 adult patients with severe acute respiratory syndrome (SARS). Results provide insight into the host immune response to the SARS coronavirus.,15655079,GPL201,in situ oligonucleotide,8793,1,14,count,GSE1739,none,data/GEO_v2/datasets/GDS1028.csv,728,disease state,2,"{'control': 4, 'SARS': 10}","{'SARS': 10, 'control': 4}"
GDS1036,Microglial cell response to interferon-gamma: time course,"Expression profiling of microglial cells obtained from 4 different samples following treatment with 200 u/ml interferon-gamma (IFN-gamma).  Cells examined 1, 6, and 4 hours after treatment.  Results provide insight into the regulation of immune functions in microglia by IFN-gamma.",16163375,GPL96,in situ oligonucleotide,22283,1,24,count,GSE1432,ordered,data/GEO_v2/datasets/GDS1036.csv,958,agent,2,"{'untreated': 12, 'IFN-gamma': 12}","{'untreated': 12, 'IFN-gamma': 12}"
GDS1036,Microglial cell response to interferon-gamma: time course,"Expression profiling of microglial cells obtained from 4 different samples following treatment with 200 u/ml interferon-gamma (IFN-gamma).  Cells examined 1, 6, and 4 hours after treatment.  Results provide insight into the regulation of immune functions in microglia by IFN-gamma.",16163375,GPL96,in situ oligonucleotide,22283,1,24,count,GSE1432,ordered,data/GEO_v2/datasets/GDS1036.csv,958,time,3,"{'1 h': 8, '6 h': 8, '24 h': 8}","{'1 h': 8, '6 h': 8, '24 h': 8}"
GDS1036,Microglial cell response to interferon-gamma: time course,"Expression profiling of microglial cells obtained from 4 different samples following treatment with 200 u/ml interferon-gamma (IFN-gamma).  Cells examined 1, 6, and 4 hours after treatment.  Results provide insight into the regulation of immune functions in microglia by IFN-gamma.",16163375,GPL96,in situ oligonucleotide,22283,1,24,count,GSE1432,ordered,data/GEO_v2/datasets/GDS1036.csv,958,specimen,4,"{'B18': 6, 'O': 6, 'W': 6, 'Y20': 6}","{'B18': 6, 'O': 6, 'W': 6, 'Y20': 6}"
GDS1048,Lymphoblastoid cell lines from CEPH/Utah families,Expression profiling of lymphoblastoid cell lines from 15 CEPH/Utah families.  Cell lines from 3 generations examined.  Results provide insight into the heritability of gene expression traits in segregating human populations.,15514893,GPL564,spotted oligonucleotide,23916,2,167,log ratio,GSE1726,none,data/GEO_v2/datasets/GDS1048.csv,907,specimen,15,"{'family 1334': 7, 'family 1340': 10, 'family 1345': 10, 'family 1346': 9, 'family 1349': 12, 'family 1350': 10, 'family 1358': 11, 'family 1362': 17, 'family 1375': 10, 'family 1377': 10, 'family 1408': 12, 'family 1418': 11, 'family 1421': 12, 'family 1424': 14, 'family 1477': 12}","{'family 1362': 17, 'family 1424': 14, 'family 1349': 12, 'family 1408': 12, 'family 1421': 12, 'family 1477': 12, 'family 1358': 11, 'family 1418': 11, 'family 1340': 10, 'family 1345': 10, 'family 1350': 10, 'family 1375': 10, 'family 1377': 10, 'family 1346': 9, 'family 1334': 7}"
GDS1050,Valproic acid effect on theca cells (HG-U133A),"Analysis of normal theca cells treated with 500 uM valproic acid (VPA), an anti-epilipetic that induces polycystic ovary syndrome (PCOS)-like symptoms. Theca cells from PCOS patients also examined. Results provide insight into the underlying mechanisms contributing to VPA-induced PCOS-like symptoms.",15598877,GPL96,in situ oligonucleotide,22283,1,13,count,GSE1615,none,data/GEO_v2/datasets/GDS1050.csv,958,agent,2,"{'untreated': 9, 'valproic acid': 4}","{'untreated': 9, 'valproic acid': 4}"
GDS1050,Valproic acid effect on theca cells (HG-U133A),"Analysis of normal theca cells treated with 500 uM valproic acid (VPA), an anti-epilipetic that induces polycystic ovary syndrome (PCOS)-like symptoms. Theca cells from PCOS patients also examined. Results provide insight into the underlying mechanisms contributing to VPA-induced PCOS-like symptoms.",15598877,GPL96,in situ oligonucleotide,22283,1,13,count,GSE1615,none,data/GEO_v2/datasets/GDS1050.csv,958,disease state,2,"{'polycystic ovary syndrome': 5, 'normal': 8}","{'normal': 8, 'polycystic ovary syndrome': 5}"
GDS1051,Valproic acid effect on theca cells (HG-U133B),"Analysis of normal theca cells treated with 500 uM valproic acid (VPA), an anti-epilipetic that induces polycystic ovary syndrome (PCOS)-like symptoms. Theca cells from PCOS patients also examined. Results provide insight into the underlying mechanisms contributing to VPA-induced PCOS-like symptoms.",15598877,GPL97,in situ oligonucleotide,22645,1,13,count,GSE1615,none,data/GEO_v2/datasets/GDS1051.csv,288,agent,2,"{'untreated': 9, 'valproic acid': 4}","{'untreated': 9, 'valproic acid': 4}"
GDS1051,Valproic acid effect on theca cells (HG-U133B),"Analysis of normal theca cells treated with 500 uM valproic acid (VPA), an anti-epilipetic that induces polycystic ovary syndrome (PCOS)-like symptoms. Theca cells from PCOS patients also examined. Results provide insight into the underlying mechanisms contributing to VPA-induced PCOS-like symptoms.",15598877,GPL97,in situ oligonucleotide,22645,1,13,count,GSE1615,none,data/GEO_v2/datasets/GDS1051.csv,288,disease state,2,"{'polycystic ovary syndrome': 5, 'normal': 8}","{'normal': 8, 'polycystic ovary syndrome': 5}"
GDS1059,Acute myeloid leukemia response to chemotherapy,Analysis of mononuclear cells from 54 chemotherapy treated patients less than 15 years of age with acute myeloid leukemia (AML). Mononuclear cells taken from peripheral blood or bone marrow. Results identify expression patterns associated with complete remission and relapse with resistant disease.,12738660,GPL8300,in situ oligonucleotide,12625,1,58,count,GSE2191,none,data/GEO_v2/datasets/GDS1059.csv,495,disease state,2,"{'normal': 4, 'AML': 54}","{'AML': 54, 'normal': 4}"
GDS1059,Acute myeloid leukemia response to chemotherapy,Analysis of mononuclear cells from 54 chemotherapy treated patients less than 15 years of age with acute myeloid leukemia (AML). Mononuclear cells taken from peripheral blood or bone marrow. Results identify expression patterns associated with complete remission and relapse with resistant disease.,12738660,GPL8300,in situ oligonucleotide,12625,1,58,count,GSE2191,none,data/GEO_v2/datasets/GDS1059.csv,495,other,4,"{'control': 4, 'no remission': 1, 'complete remission': 28, 'relapse': 25}","{'complete remission': 28, 'relapse': 25, 'control': 4, 'no remission': 1}"
GDS1062,Squamous cell carcinoma of the oral cavity with lymph node metastasis,Expression profiling of 18 primary squamous cell carcinomas of the oral cavity with or without lymph node metastasis. Expression in lymph node metastasis also examined. Results used to identify gene expression signature in primary tumors that indicates the presence of lymph node metastasis.,15558013,GPL96,in situ oligonucleotide,22283,1,27,count,GSE2280,none,data/GEO_v2/datasets/GDS1062.csv,958,tissue,2,"{'squamouos cell carcinoma': 22, 'lymph node metastasis': 5}","{'squamouos cell carcinoma': 22, 'lymph node metastasis': 5}"
GDS1062,Squamous cell carcinoma of the oral cavity with lymph node metastasis,Expression profiling of 18 primary squamous cell carcinomas of the oral cavity with or without lymph node metastasis. Expression in lymph node metastasis also examined. Results used to identify gene expression signature in primary tumors that indicates the presence of lymph node metastasis.,15558013,GPL96,in situ oligonucleotide,22283,1,27,count,GSE2280,none,data/GEO_v2/datasets/GDS1062.csv,958,disease state,2,"{'no metastasis': 8, 'metastasis': 19}","{'metastasis': 19, 'no metastasis': 8}"
